sport,model,level,n,near_dist_rate,near_overlap_rate,median_d_norm
basketball,gemini,0.0,2502,0.9932054356514788,0.9640287769784173,0.0
basketball,gemini,1.0,2477,0.9838514331853048,0.9370205894226887,0.0
basketball,gemini,2.0,999,0.9819819819819819,0.943943943943944,0.0
basketball,gpt,0.0,2420,0.9334710743801653,0.8859504132231405,0.0
basketball,gpt,1.0,2406,0.9177057356608479,0.8794679966749792,0.0
basketball,gpt,2.0,496,0.9556451612903226,0.9153225806451613,0.0
basketball,humans,,1950,0.7769230769230769,0.615897435897436,0.01954232449849632
basketball,llama,0.0,2500,0.9216,0.8936,0.0
basketball,llama,1.0,2473,0.9506672058228872,0.8613020622725435,0.0
basketball,llama,2.0,999,0.97997997997998,0.8598598598598599,0.0
basketball,qwen,0.0,2500,0.9208,0.8896,0.0
basketball,qwen,1.0,3696,0.948051948051948,0.838474025974026,0.0
basketball,qwen,2.0,983,0.9796541200406917,0.8596134282807731,0.0
soccer,gemini,0.0,2564,0.9118564742589703,0.8350234009360374,0.0
soccer,gemini,1.0,2548,0.9171899529042387,0.8618524332810047,0.0
soccer,gemini,2.0,2355,0.8649681528662421,0.7910828025477707,0.00015198477455446608
soccer,gpt,0.0,2431,0.9432332373508844,0.7984368572603867,0.0
soccer,gpt,1.0,2404,0.9122296173044925,0.721297836938436,0.00015198477455446608
soccer,gpt,2.0,509,0.8860510805500982,0.7131630648330058,0.006245007423687954
soccer,humans,,12300,0.7652032520325204,0.5656097560975609,0.03248201811554117
soccer,llama,0.0,2588,0.83887171561051,0.7190880989180835,0.0023939783890240774
soccer,llama,1.0,2568,0.8052959501557633,0.6658878504672897,0.0023939783890240774
soccer,llama,2.0,1038,0.5578034682080925,0.3516377649325626,0.06927421361560682
soccer,qwen,0.0,2549,0.8254217340133385,0.6943899568458219,0.007004250470664839
soccer,qwen,1.0,2571,0.8136911707506806,0.6717230649552703,0.0023939783890240774
soccer,qwen,2.0,1040,0.5605769230769231,0.3701923076923077,0.06927421361560682
volleyball,gemini,0.0,2598,0.9795996920708238,0.9488067744418783,0.0
volleyball,gemini,1.0,2587,0.9814456899884035,0.9354464630846541,0.0
volleyball,gemini,2.0,980,0.9775510204081632,0.963265306122449,0.0
volleyball,gpt,0.0,2498,0.9615692554043235,0.9091273018414732,0.0
volleyball,gpt,1.0,2532,0.9684044233807267,0.9324644549763034,0.0
volleyball,gpt,2.0,513,0.9824561403508771,0.9122807017543859,0.0
volleyball,humans,,8250,0.896,0.7523636363636363,0.0048702454992998806
volleyball,llama,0.0,2500,0.9004,0.896,0.0
volleyball,llama,1.0,2483,0.9617398308497785,0.93717277486911,0.0
volleyball,llama,2.0,986,0.8864097363083164,0.7647058823529411,0.0
volleyball,qwen,0.0,2500,0.9004,0.894,0.0
volleyball,qwen,1.0,2486,0.9585679806918745,0.9384553499597748,0.0
volleyball,qwen,2.0,995,0.8904522613065327,0.7698492462311558,0.0
