sport,respondent_type,model,level,n_responses,n_correct,n_parse_failed,n_images,accuracy,parse_failure_rate
basketball,human,,,7500,2544,0,50,0.3392,0.0
basketball,model,gemini,0,2500,281,48,50,0.1124,0.0192
basketball,model,gemini,1,2497,351,70,50,0.1406,0.028
basketball,model,gemini,2,1000,109,8,50,0.109,0.008
basketball,model,gpt,0,2500,288,130,50,0.1152,0.052
basketball,model,gpt,1,2500,281,144,50,0.1124,0.0576
basketball,model,gpt,2,500,53,14,50,0.106,0.028
basketball,model,llama,0,2500,138,0,50,0.0552,0.0
basketball,model,llama,1,2500,184,27,50,0.0736,0.0108
basketball,model,llama,2,999,8,0,50,0.008,0.0
basketball,model,qwen,0,2500,141,0,50,0.0564,0.0
basketball,model,qwen,1,3732,306,36,50,0.082,0.0096
basketball,model,qwen,2,983,8,0,50,0.0081,0.0
soccer,human,,,7500,1441,0,50,0.1921,0.0
soccer,model,gemini,0,2500,94,36,50,0.0376,0.0144
soccer,model,gemini,1,2500,111,52,50,0.0444,0.0208
soccer,model,gemini,2,1000,81,14,50,0.081,0.014
soccer,model,gpt,0,2500,176,169,50,0.0704,0.0676
soccer,model,gpt,1,2500,221,196,50,0.0884,0.0784
soccer,model,gpt,2,500,23,11,50,0.046,0.022
soccer,model,llama,0,2500,105,12,50,0.042,0.0048
soccer,model,llama,1,2500,195,19,50,0.078,0.0076
soccer,model,llama,2,998,67,0,50,0.0671,0.0
soccer,model,qwen,0,2453,115,4,50,0.0469,0.0016
soccer,model,qwen,1,2500,185,13,50,0.074,0.0052
soccer,model,qwen,2,1000,65,0,50,0.065,0.0
volleyball,human,,,7500,1960,0,50,0.2613,0.0
volleyball,model,gemini,0,2500,1,2,50,0.0004,0.0008
volleyball,model,gemini,1,2500,4,13,50,0.0016,0.0052
volleyball,model,gemini,2,1000,4,9,50,0.004,0.009
volleyball,model,gpt,0,2500,87,102,50,0.0348,0.0408
volleyball,model,gpt,1,2500,20,68,50,0.008,0.0272
volleyball,model,gpt,2,500,1,7,50,0.002,0.014
volleyball,model,llama,0,2500,21,0,50,0.0084,0.0
volleyball,model,llama,1,2483,1,0,50,0.0004,0.0
volleyball,model,llama,2,986,0,0,50,0.0,0.0
volleyball,model,qwen,0,2500,23,0,50,0.0092,0.0
volleyball,model,qwen,1,2486,1,0,50,0.0004,0.0
volleyball,model,qwen,2,995,0,0,50,0.0,0.0
